Category	Book	Level Range / Style	Recipes Taught	Proficiencies
Cooking	Food Fashions for Young Moderns	2-4	donut holes (5); fermenting sauerkraut jar (4); hickory nut ambrosia (6); honey mustard (1); lutefisk (4); maple pie (3); mayonnaise (1); sashimi (4); sauerkraut w/ sauteed onions (3); spaghetti al pesto (4); sugar (5)	
Cooking	Glamopolitan	0-1	fairy bread (1); faux gras (5)	
Cooking	La Vida Deliciosa: Definitive Mexican Cuisine	1-4	beans and rice (1); chili con carne (2); chili powder (1); corn tortilla (1); cornmeal (1); deluxe beans and rice (2); deluxe vegetarian beans and rice (1); flour tortilla (1); homemade burrito (3); hominy (4); horchata (3); Mexican hot chocolate (1); nopalito (0); salsa (1); seasoned salt (2); taco (1); tortilla chips (2)	
Cooking	Liver-Licious Recipes Your Kids Will Love	1-2	faux gras (5); fried liver (1); haggis (4); leverpostej (1); liver & onions (1)	
Cooking	Native American Foodways	2-3	akutaq (1); akutaq with fruit (1); frybread (1); hazelnut cake (1); Indian taco (1); pemmican (1); pemmican with fruit (1); pemmican with vegetables (1); succotash (1); succotash deluxe (1); three sisters stew (1)	Breading & Battering; Forager Cooking
Cooking	Offal Holiday Cooking	1-3	artificial sausage casing (3); homemade hot dog (3); lung provence (2); sausage casing (3); scrambled eggs and brain (2); stuffed heart (2); töttchen (2)	Principles of Frying
Cooking	Out of the Holler and into the Home: A guide to home distillation	3-5	brandy (2); denatured alcohol; ethanol (4); gin (4); gin mash (3); moonshine (1); moonshine mash (1); rum (4); rum wort (4); screw press (1); still (3); vodka (4); vodka wort (4); whiskey (4); whiskey wort (5)	Beverage Distillation; Brewing; Culinary Fermentation; Distillation; Winemaking
Cooking	Sushi Made Easy	1-4	cooked bamboo shoots (2); fish makizushi (3); fried bamboo shoots (2); fried tofu (2); meat temaki (3); onigiri (2); sashimi (4); soy and wheat dough (6); soy sauce (3); sushi rice (2); tofu (3); tofu stirfry (3); unfermented soy sauce (6); vegetable hosomaki (3)	
Cooking	Sweets for your Sweet Child	0-2	cake (3); cookie (2); fruit filled gelatin dessert (1); fruit filled vegan gelatin dessert (1); fruit jam (1); fruit pie (3); gummy candy (2); homemade gelatin dessert (1); maple pie (3); maple syrup candy (4); s'mores (3); sloppy joe (1); vegan gelatin dessert (1); vegan gummy candy (2)	Dessert Baking; Principles of Baking
Cooking	Tasting India	1-3	curry (1); curry with meat (1); flatbread (1); ghee (1); vegetable samosa (2)	
Cooking	The Baker's Companion	2-5	bread (1); brioche (3); brown bread (2); cake (2); cookie (1); cracker (2); donut holes (2); freshly fed sourdough starter (2); fruit filled gelatin dessert (1); fruit filled vegan gelatin dessert (1); fruit pie (3); gummy candy (2); homemade gelatin dessert (1); juvenile sourdough starter (2); maple pie (3); meat pie (2); pumpkin muffin (2); pumpkin yeast bread (1); sourdough bread (2); sponge cake (3); strudel (3); vegan gelatin dessert (1); vegan gummy candy (2); vegetable pie (2)	Breadmaking; Dessert Baking; Patisserie Expert; Principles of Baking
Cooking	The Homebrewer's Bible	2-4	beer wort (4); burdock wine must (3); dandelion wine must (3); fruit wine must (2); growing wild koji mold (6); hopped mead must (2); malting grain (4); moonshine mash (1); plain mead must (2); sake (6); sake mash (6); seltzer wort (4); soaking dandelion (3); spiced mead must (2); unfermented root beer (2); unfinished koji rice (6)	Brewing; Culinary Fermentation; Winemaking
Cooking	The Turkish Cookbook	0-2	baklava (2); iskender kebab (2); kiymali pide (2); lahmacun (2); manti (2); menemen (2); sarma (2)	
Cooking	The Vinegar Maker's Handbook	1-3	unfermented vinegar (1); vinegar (1)	Brewing; Culinary Fermentation; Distillation; Winemaking
Cooking	Things to Do with Milk	2-5	condensed milk (2); cottage cheese (1); cottage cheese with fruit (1); cottage cheese with savory vegetables (1); curdling milk (3); fermenting yogurt (3); fried mozzarella sticks (1); hard cheese (3); mozzarella cheese (1); raw butter (3); serving of chocolate ice cream (2); serving of frozen custard (2); serving of frozen yogurt (2); serving of ice cream (2); serving of sorbet (2)	Cheesemaking Expert; Principles of Cheesemaking
Cooking	To Serve Man	2-4		
Cooking	Vacuum Sealer Instructions	0-1	fruit in syrup (1); post apocalyptic 'caviar' (1); salted vegetable chunk (1)	Food Preservation
Cooking	Winemaking for Beginners	1-2	brandy (2); fruit wine must (2); plain mead must (2); screw press (1); seltzer wort (2); unfermented vinegar (3)	Brewing; Culinary Fermentation; Winemaking
Cooking	Ye Scots Beuk o Cuikery	2-4	bagpipes (7); bratwurst (2); cloutie dumplings (2); Cullen skink (2); deep-fried tripe (2); fried brain (2); grilled sweetbread (2); haggis (3); humble pie (2); kilt (3); liver & onions (2); meat confit (2); meat pie (3); raw sausage (2); sausage casing (3); smoked sausage (2); stewed tripe (2); utility kilt (7); vegetable pie (3); whiskey wort (5)	
Cooking	You Can Can at Home	0-1	bone broth (3); canned beans (3); canned fish (3); canned fruit (3); canned heart (4); canned liver (4); canned lobster (3); canned meat (3); canned offal (3); canned tomato (3); canned vegetable (3); condensed milk (2); fish soup (3); fruit jam (3); kompot (2); meat broth (3); meat soup (3); mushroom soup (3); pickled fish (4); pickled meat (4); pickled offal (4); pickled vegetable (4); tomato sauce (3); V8 (3); vegetable broth (3); vegetable soup (3); wet cat food (3); wet dog food (3); woods meat soup (3)	Canning Food; Food Preservation
Cutting Weapons	All About Swords	0-1		
Cutting Weapons	blade fighter's notes	0-3		
Cutting Weapons	USMC Sword Manual Procedure	1-4		
Devices	Booby Traps, IEDs, Mines and You: A Primer	0-3	booby trap (3)	
Devices	FM 20-32 Mine/Countermine Operations	3-6	booby trap (3)	
Devices	How to Trap Anything	0-4	bear trap (1)	
Devices	MIT Guide to Lock Picking	0-2		
Devices	The Compleat Trapper	3-6		
Devices	The Modern Trapper	0-3	bear trap (1)	
Devices	The Trapper's Companion	5-8	boiled leather cow barding with caparison (3); boiled leather horse barding with caparison (3); gutskin hood (6); gutskin parka (6); rolled fur sleeping bag (3)	
Devices	Trapper's Life	0-1	bear trap (1)	
Dodging	Break a Leg!	0-1		
Dodging	Dance Dance Dance!	0-1		
Dodging	The Book of Dances	0-3		
Dodging	Treasury of Legends about Western Dancing	4-5		
Ecology	Alpha Male Quarterly	0-1	foil cup (0)	
Ecology	Autobiography of a Mountain Man	5-8	.410 000 shot, black powder (1); .410 birdshot, black powder (1); .410 scrap shot, black powder (1); .410 slug, black powder (1); 00 shot, black powder (1); 00 shot, black powder, scrap loaded (1); antacid tablet (3); antifungal drug (5); baked dahlia root (1); bark tea (3); birdshot, black powder (1); boiled leather cow barding with caparison (3); boiled leather horse barding with caparison (3); bone glue (1); bone meal tablet (3); burdock wine must (3); camphine (1); cattail jelly (1); chamomile tea (1); chicory brew (1); cooked burdock greens (1); curdling milk (3); dandelion tea (1); dandelion wine must (3); dragon's breath shell, black powder (1); fish bait (1); flavored bone meal tablet (3); fried burdocks (1); fried dandelions and burdocks (1); fungicide (3); fur cloak (1); gutskin hood (4); gutskin parka (4); haggis (6); hard cheese (7); hickory nut ambrosia (3); jeans (3); Kentucky coffee grounds (1); light snare kit (1); lotus tea (1); meat confit (3); opium tar (3); pemmican (1); pemmican with fruit (1); pemmican with vegetables (1); pine needle tea (1); pine wine must (3); plastic fish trap (1); roasted salsify (1); rolled fur sleeping bag (2); shotgun slug, black powder (1); skirt (3); skunk spray neutralizing solution (3); soaking dandelion (3); spurge tea (1); turpentine (1); willowbark tea (3)	Basic Knapping; Speed Knapping
Ecology	Introduction to Plant Biology	3-5	concentrated paralytic (5); willowbark tea (4)	
Ecology	Natural Remedies of New England	1-5	antacid tablet (1); antifungal drug (3); aspirin (2); bone meal tablet (1); cattail jelly (1); flavored bone meal tablet (2); mugwort oil (3); opium tar (2); skunk spray neutralizing solution (2); thyme oil (3); wintergreen oil (3)	
Ecology	Outdoor Adventures	0-1	.410 000 shot, black powder (1); .410 birdshot, black powder (1); .410 scrap shot, black powder (1); .410 slug, black powder (1); 00 shot, black powder (1); 00 shot, black powder, scrap loaded (1); birdshot, black powder (1); cattail jelly (1); chamomile tea (1); chicory brew (1); cooked burdock greens (1); copper hatchet (1); dandelion tea (1); dragon's breath shell, black powder (1); ember carrier (1); fish bait (1); foil cup (0); fried burdocks (1); fried dandelions and burdocks (1); grappling hook (4); gum blanket (2); hobo stove (2); light snare kit (2); lotus tea (1); pine needle tea (1); plastic fish trap (2); shotgun slug, black powder (1); signal flare (2); spurge tea (1); stone axe (1); wooden hand fishing reel (4)	
Ecology	Outdoor Survival Guide	3-6	antacid tablet (2); antifungal drug (5); baked dahlia root (1); bark tea (5); birchbark shoes (1); boiled leather cow barding with caparison (3); boiled leather horse barding with caparison (3); bone glue (1); bone meal tablet (2); burdock wine must (3); butter churn (4); camphine (1); cattail jelly (1); chamomile tea (1); chicory brew (1); cooked burdock greens (1); curdling milk (3); dandelion tea (1); dandelion wine must (3); ember carrier (1); faux fur gloves (1); fish bait (1); flavored bone meal tablet (2); fried burdocks (1); fried dandelions and burdocks (1); fungicide (1); fur boots (1); fur cloak (1); fur gloves (1); fur moccasins (0); glove liners (2); grappling hook (2); grilled sweetbread (3); gum blanket (2); hickory nut ambrosia (3); hobo stove (1); large tent (1); leather gloves (1); light snare kit (1); lotus tea (1); moccasins (0); mortar and pestle (0); opium tar (2); pine needle tea (1); pine wine must (3); plastic fish trap (2); roasted salsify (1); rolled fur sleeping bag (1); soaking dandelion (3); spurge tea (1); stone quern (1); tanning fur pelt (6); tanning leather hide (6); tent (1); turpentine (1); water purification tablet (4); willowbark tea (4); wooden hand fishing reel (4); work gloves (2)	
Ecology	Pitching a Tent	0-3	baked dahlia root (1); burdock wine must (3); camphine (1); chamomile tea (1); chicory brew (1); cooked burdock greens (1); curdling milk (3); dandelion tea (1); dandelion wine must (3); fried burdocks (1); fried dandelions and burdocks (1); gum blanket (2); large tent (1); light snare kit (1); lotus tea (1); pine needle tea (1); pine wine must (3); rehydration drink (1); roasted cattail rhizome (1); roasted salsify (1); soaking dandelion (3); spurge tea (1); tent (1); turpentine (1); wooden hand fishing reel (4)	Basic Knapping; Speed Knapping
Ecology	Pocket Survival Guide	0-2	antacid tablet (3); antifungal drug (5); baked dahlia root (1); birchbark shoes (1); bone meal tablet (3); camphine (1); cattail jelly (1); chamomile tea (1); chicory brew (1); cooked burdock greens (1); dandelion tea (1); faux fur gloves (1); fish bait (1); flavored bone meal tablet (3); foil cup (0); fried burdocks (1); fried dandelions and burdocks (1); fungicide (2); fur gloves (1); fur moccasins (0); glove liners (2); horn-tipped arrow (1); leather gloves (1); light snare kit (1); lotus tea (1); moccasins (0); monster tooth arrow (1); opium tar (3); pine needle tea (1); plastic fish trap (1); roasted cattail rhizome (1); roasted salsify (1); rolled fur sleeping bag (1); signal flare (2); skunk spray neutralizing solution (3); spurge tea (1); stone-tipped arrow (1); turpentine (1); wooden arrow (1)	Basic Knapping; Speed Knapping
Ecology	Survival Under Atomic Attack	1-8	acetic acid (1); acetic acid (5); acetic anhydride (5); acetone (4); acetylene (3); antacid tablet (2); antifungal drug (5); aspirin (3); baking soda (5); bark tea (4); bone meal tablet (2); bread (6); calcium carbide (3); calcium chloride (4); canned offal (4); chloroform (4); citric acid (4); copper hatchet (1); Dakin's solution (1); diazepam (6); filter mask (3); flavored bone meal tablet (2); formic acid (1); formic acid (5); freshly fed sourdough starter (6); fungicide (2); gas mask (3); Geiger counter (off) (3); grappling hook (3); gum blanket (2); heat pack (4); heavy survivor mask (8); heroin (6); hydrochloric acid (1); hydrochloric acid (5); iodine crystals (4); juvenile sourdough starter (6); ketene lamp (5); liquid fertilizer (2); mortar and pestle (0); opium tar (2); oxyacetylene (3); oxycodone (5); potassium iodide tablet (5); Prussian blue tablet (5); rebreather mask (3); rebreather oxygen regenerator cartridge (4); rebreather oxygen regenerator filler (4); rebreather scrubber cartridge, air tank (4); rebreather scrubber cartridge, oxygen tank (4); rebreather scrubbing filler (4); saline solution (4); sodium carbonate (4); sodium carbonate (5); sourdough bread (6); stone axe (1); stone quern (1); sulfuric acid (1); survivor firemask (8); survivor half mask (8); survivor mask (8); thermal electric balaclava (3); thermal electric gloves (3); thermal electric socks (3); thermal electric suit (3); wastebread (6); water purification tablet (4); willowbark tea (4)	
Ecology	The Wonderful World of Arthropodology	3-4	biosilicified chitin arm guards (6); biosilicified chitin armor (7); biosilicified chitin gauntlets (6); biosilicified chitin greaves (6); biosilicified chitin helmet (6); biosilicified chitin sollerets (4); chitin arm guards (5); chitin armor (6); chitin gauntlets (5); chitin greaves (5); chitin helmet (5); chitin sollerets (3); concentrated venom (5)	Chitinworking
Ecology	Through the Lens	1-3	large tent (1); soda can stove kit (1); tent (1)	Basic Knapping; Speed Knapping
Electronics	2XI design binder-CLASSIFIED	6-7		
Electronics	Advanced Electronics	2-5	advanced solar panel (6); atomic lamp (4); battery compartment mod (3); coffeemaker (1); coilgun (5); crude heating element (1); electric hair trimmer (4); electrified foil (3); electrified saber (3); electrified épée (3); electrohack (5); EMP bomb (5); Faraday chainmail (6); Faraday platemail (6); faraday sharksuit (6); food dehydrator (3); Geiger counter (off) (4); heavy battery mod (2); hotplate (1); large water wheel (6); large wind turbine (4); light battery mod (2); makeshift vacuum sealer (4); medium battery mod (2); portable soldering iron (1); power converter (2); powered quarterstaff (3); programmable autopilot (3); radio activation mod (3); reading light (3); recharging station (6); security camera (6); solar panel (6); soldering iron (2); UPS (off) (4); UPS conversion mod (3); water purifier (3); water wheel (6)	
Electronics	Amateur Home Radio for Enthusiasts	4-8	amplifier circuit (3); antenna (1); directional antenna (3); noise emitter (off) (1); radio (2); signal receiver (1)	
Electronics	anti-materiel turret schematics	7-7	inactive M2HB autonomous CROWS II (7)	
Electronics	Arduino Experiments	2-4	turret control unit (4); turret mount (2)	
Electronics	Augmentative Tech Review	4-5		
Electronics	cleaner bot schematics	7-7	inactive cleaner bot (7)	
Electronics	computer printout	6+	heavy plutonium tool battery (6)	
Electronics	dispatch schematics	7-7	inactive dispatch (8)	
Electronics	Electronic Circuit Theory	3-6	advanced solar panel (6); coilgun (5); crude heating element (1); electric hair trimmer (3); electric lantern (off) (2); electrified foil (3); electrified saber (3); electrified épée (3); Faraday chainmail (6); Faraday platemail (6); faraday sharksuit (6); food dehydrator (3); Geiger counter (off) (4); hand-crank charger (3); handheld game system (7); large water wheel (6); large wind turbine (4); power converter (2); powered quarterstaff (3); programmable autopilot (3); radio activation mod (2); RC car (7); recharging station (6); security camera (6); signal receiver (2); solar panel (6); transponder circuit (2); UPS conversion mod (3); vehicle forge rig (8); vehicle kiln (8); water wheel (6)	
Electronics	grocery bot schematics	7-7	inactive grocery bot (7)	
Electronics	Ham Radio Illustrated	0-1	antenna (1); back-up beeper (2); battery charger (1); bicycle alternator (2); car battery (2); car headlight (2); coffeemaker (3); directed floodlight (2); electric lantern (off) (4); flashlight (off) (1); floodlight (2); hand-crank charger (3); headlamp (0); heavy tool battery (2); hotplate (3); large storage battery (2); makeshift vacuum sealer (6); medium storage battery (2); micro electric motor (2); motorbike alternator (2); motorbike battery (2); small electric motor (2); tiny electric motor (2); tool battery (2); very large storage battery (2); wearable camera (0); wearable professional camera (0); wide-angle car headlight (2)	
Electronics	lab defense bot schematics	7-7		
Electronics	lab journal-Herrera	5-8	bionic power conversion mod (4); inactive autonomous M240 CROWS II (7); inactive autonomous M249 CROWS II (7); inactive C-4 hack (6); inactive EMP hack (6); inactive flashbang hack (6); inactive grenade hack (6); inactive manhack (6); inactive taser hack (5); inactive tear gas hack (6); inactive turret (7); programmable autopilot (3); RC control (5); remote vehicle controller (5); teleport pad (8); UPS (off) (4); UPS conversion mod (3)	
Electronics	military dispatch schematics	7-7	inactive military dispatch (8)	
Electronics	milspec searchlight schematics	7-7		
Electronics	miner bot schematics	7-7	inactive demining bot (7)	
Electronics	nurse bot schematics	7-7	inactive nurse bot (7)	
Electronics	plans for a radio repeater mod	2+	radio repeater mod (2)	
Electronics	Robots for Fun & Profit	5-10	drive by wire controls (7); hand-crank charger (4); handheld game system (6); inactive autonomous M240 CROWS II (9); inactive autonomous M249 CROWS II (9); inactive C-4 hack (7); inactive EMP hack (7); inactive flashbang hack (7); inactive grenade hack (7); inactive manhack (7); inactive taser hack (6); inactive tear gas hack (7); inactive turret (9); RC car (6); RC control (5); recharging station (5); remote vehicle controller (5)	
Electronics	security bot schematics	7-7	inactive M202A1 TALON UGV (7); inactive TALON UGV (7)	
Electronics	skitterbot schematics	7-7	inactive skitterbot (7)	
Electronics	trifacet handling procedures	3-6		
Electronics	What's a Transistor?	0-3	advanced solar panel (7); amplifier circuit (1); battery charger (0); battery compartment mod (3); bicycle alternator (2); car battery (2); car headlight (1); coffeemaker (2); crude heating element (1); directed floodlight (1); electric lantern (off) (3); flashlight (off) (0); floodlight (1); heavy battery mod (2); heavy tool battery (2); hotplate (2); large storage battery (2); large water wheel (7); large wind turbine (4); light battery mod (2); makeshift vacuum mold (5); makeshift vacuum sealer (5); medium battery mod (2); medium storage battery (2); micro electric motor (2); motorbike alternator (2); motorbike battery (2); portable soldering iron (1); power converter (1); programmable autopilot (3); reading light (3); signal receiver (1); small electric motor (2); solar panel (7); soldering iron (1); tiny electric motor (2); tool battery (2); transponder circuit (1); UPS conversion mod (3); very large storage battery (2); water purifier (2); water wheel (7); wide-angle car headlight (1)	
Fabrication	101 Crafts for Beginners	0-3	bipod (2); bolt cutters (4); bow saw (3); charcoal kiln (2); charcoal smoker (3); concrete mixer (7); electric hair trimmer (4); electric kiln (4); entrenching tool (3); folding stock (3); forward grip (3); hacksaw (3); hand-crank charger (4); headlamp (0); hoe (3); lump hammer (3); makeshift jack (2); makeshift stethoscope (1); manual oil press (2); mechanical pump (4); nut and bolt (3); pistol stock (3); pistol stock (4); recoil stock (3); scissor jack (3); shovel (2); sledgehammer (3); soda can stove kit (1); telescopic pistol sight (3); telescopic sight (3); thread cutting set (3); wearable camera (0); wearable professional camera (0); wood forward grip (2); wood saw (3)	
Fabrication	101 Home Repairs	0-2	water faucet (4)	Basic Carpentry; Plumbing
Fabrication	A History of Firefighting	7-9	crash axe (6); entry suit (8); filter mask (3); fire axe (8); flame-resistant cowl (6); flame-resistant gloves (6); flame-resistant socks (6); flame-resistant suit (6); gas mask (3); Halligan bar (8); New York hook (6); rebreather oxygen regenerator cartridge (4); rebreather oxygen regenerator filler (4); rebreather scrubber cartridge, air tank (4); rebreather scrubber cartridge, oxygen tank (4); rebreather scrubbing filler (4); survivor firehood (7); survivor firemask (7)	
Fabrication	alloying reference manual	4-7	bronze fragment (3); bronze ingot (2); large bronze ingot (2); small bronze ingot (2)	Principles of Metalworking
Fabrication	Antique Adornments	6-7	copper bracelet (6); copper necklace (6); gold bracelet (6); gold necklace (6); gold ring (6); golden crown (6); silver bracelet (6); silver necklace (6)	Fine Metalsmithing; Gem Setting
Fabrication	Arms and Armor of Imperial China	5-10	black gunpowder (5); boiled leather cow barding with caparison (6); boiled leather horse barding with caparison (6); bronze fragment (4); conical helm (5); crude paper breastplate (2); dao (5); iron cow armor (4); iron horse armor (4); ji (5); jian (8); leather arm guards (4); leather cuirass (4); leather gauntlets (4); leather helmet (6); leather leg guards (4); leather pauldrons (3); light crossbow (5); paper ballistic plate (2); paper ballistic side plate (2); qiang (6); repeating crossbow (4); rope dart (1); suit of boiled leather armor (6)	Redsmithing
Fabrication	Artillery of the Ancients	4-6	ballista bolt (4); carroballista (4)	
Fabrication	Birdhouse Monthly	0-1		Basic Carpentry
Fabrication	Building for Beginners	0-3		Basic Carpentry; Plumbing
Fabrication	Concrete Constructions	3-4	cement powder (4); dry concrete mix (4); mortar (2); quicklime (3)	
Fabrication	Crafty Crafter's Quarterly	0-1	makeshift stethoscope (1)	Pottery
Fabrication	DIY Compendium	3-6	ball bearing (1); BB (1); bike rack (5); block and tackle (2); bolt cutters (4); bow saw (4); bronze chisel (3); chainmail chausses (6); chainmail coif (6); chainmail gloves (6); chainmail link (1); chainmail sheet (2); chainmail skirt (6); chainmail sleeves (6); chainmail vest (6); charcoal forge (4); charcoal kiln (2); charcoal smoker (2); concrete mixer (7); copper pot (4); drift (4); duct tape (3); electric forge (4); electric hair trimmer (3); electric kiln (4); entrenching tool (4); Faraday chainmail (6); Faraday platemail (6); faraday sharksuit (6); fire axe (9); folding table (2); gas forge (4); hacksaw (4); hand pump (4); hand-crank charger (3); hard plating (5); headlamp (0); hoe (4); hotcut (4); kinetic bullet puller (7); lump hammer (4); makeshift jack (2); makeshift steam engine (5); makeshift stethoscope (1); manual oil press (2); mechanical pump (4); metal butchering rack (2); metal smoking rack (2); metalworking chisel (3); minifreezer (5); nut and bolt (3); pedal powered grindstone (3); pickaxe (6); pistol stock (4); portable dishwasher (6); reinforced headlight (3); reinforced security camera (3); reinforced wide-angle headlight (3); reinforced yoke and harness (5); rollerblades (5); rollerskates (5); rubber cement (3); scissor jack (3); shovel (3); sledgehammer (4); spiked plating (3); steel boom (6); steel scraper (2); swage and die set (4); telescopic cantilever (4); telescopic pistol sight (3); telescopic sight (3); thermal electric balaclava (3); thermal electric gloves (3); thermal electric socks (3); thermal electric suit (3); thread cutting set (3); tin powder (4); tinted glass lenses (5); vehicle controls (5); vehicle cooler (5); vehicle forge rig (8); vehicle kiln (8); washing machine (6); wearable camera (0); wearable professional camera (0); welding goggles (3); wood axe (4); wood saw (4); wooden block and tackle (2); yoke and harness (5)	
Fabrication	Engineering 301	3-6	bike rack (5); copper hatchet (2); makeshift steam engine (5); pickaxe (5); stone axe (2); yoke and harness (5)	
Fabrication	Historic Warfare: The Bronze Age	3-4	bronze fragment (3); bronze ingot (3); bronze knife (3); bronze mace (4); bronze spear (3); copper knife (3); copper pike (3); copper spear (3); dao (5); ji (5); khopesh (5); large bronze ingot (3); small bronze ingot (3); xiphos (5)	Redsmithing
Fabrication	lab journal-Gustav	9-10		
